Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore 2020,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
12960,International Journal of Human Computer Studies,3130,391,87,8,2.117,0.733,1712,Software,85,57,389,Elsevier,j, NO,1,FALSE,https://www.scopus.com/sourceid/12960,10715819,10959300
12961,Journal of Computer and Systems Sciences International,519,323,56,1.6,1.305,0.333,1705,Computer Networks and Communications,37,210,334,Pleiades Publishing,j, NO,3,FALSE,https://www.scopus.com/sourceid/12961,10642307,15556530
12961,Journal of Computer and Systems Sciences International,519,323,56,1.6,1.305,0.333,1710,Information Systems,33,218,329,Pleiades Publishing,j, NO,3,FALSE,https://www.scopus.com/sourceid/12961,10642307,15556530
12961,Journal of Computer and Systems Sciences International,519,323,56,1.6,1.305,0.333,1707,Computer Vision and Pattern Recognition,28,61,85,Pleiades Publishing,j, NO,3,FALSE,https://www.scopus.com/sourceid/12961,10642307,15556530
12961,Journal of Computer and Systems Sciences International,519,323,56,1.6,1.305,0.333,1712,Software,25,292,389,Pleiades Publishing,j, NO,3,FALSE,https://www.scopus.com/sourceid/12961,10642307,15556530
12962,Journal of Intelligent Systems,456,257,60,1.8,0.751,0.21,1710,Information Systems,37,205,329,Walter de Gruyter,j, YES,3,FALSE,https://www.scopus.com/sourceid/12962,3341860,2191026X
12962,Journal of Intelligent Systems,456,257,60,1.8,0.751,0.21,1702,Artificial Intelligence,28,163,227,Walter de Gruyter,j, YES,3,FALSE,https://www.scopus.com/sourceid/12962,3341860,2191026X
12962,Journal of Intelligent Systems,456,257,60,1.8,0.751,0.21,1712,Software,27,283,389,Walter de Gruyter,j, YES,3,FALSE,https://www.scopus.com/sourceid/12962,3341860,2191026X
12981,Kybernetes,1467,494,65,3,0.723,0.306,1701,Computer Science (miscellaneous),67,23,69,Emerald,j, NO,2,FALSE,https://www.scopus.com/sourceid/12981,0368492X,
12984,Machine Vision and Applications,1186,297,73,4,0.955,0.37,1706,Computer Science Applications,67,223,693,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12984,9328092,14321769
12984,Machine Vision and Applications,1186,297,73,4,0.955,0.37,1707,Computer Vision and Pattern Recognition,61,33,85,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12984,9328092,14321769
12984,Machine Vision and Applications,1186,297,73,4,0.955,0.37,1708,Hardware and Architecture,59,64,157,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12984,9328092,14321769
12984,Machine Vision and Applications,1186,297,73,4,0.955,0.37,1712,Software,58,163,389,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12984,9328092,14321769
12991,RAIRO - Operations Research,722,339,60,2.1,0.834,0.383,1706,Computer Science Applications,44,386,693,EDP Sciences,j, NO,3,FALSE,https://www.scopus.com/sourceid/12991,3990559,12903868
12996,IEEE Signal Processing Magazine,6006,319,75,18.8,5.373,2.058,1711,Signal Processing,97,3,108,IEEE,j, NO,1,TRUE,https://www.scopus.com/sourceid/12996,10535888,
13012,RAIRO - Theoretical Informatics and Applications,30,45,40,0.7,0.486,0.213,1706,Computer Science Applications,12,606,693,EDP Sciences,j, NO,4,FALSE,https://www.scopus.com/sourceid/13012,9883754,1290385X
13012,RAIRO - Theoretical Informatics and Applications,30,45,40,0.7,0.486,0.213,1712,Software,8,357,389,EDP Sciences,j, NO,4,FALSE,https://www.scopus.com/sourceid/13012,9883754,1290385X
13017,Physics of Life Reviews,1055,49,96,21.5,3.08,1.785,1702,Artificial Intelligence,98,4,227,Elsevier,j, NO,1,TRUE,https://www.scopus.com/sourceid/13017,15710645,18731457
13024,Acta Cybernetica,61,85,34,0.7,0.207,0.143,1701,Computer Science (miscellaneous),16,58,69,"University of Szeged, Institute of Informatics",j, NO,4,FALSE,https://www.scopus.com/sourceid/13024,0324721X,
13024,Acta Cybernetica,61,85,34,0.7,0.207,0.143,1712,Software,9,353,389,"University of Szeged, Institute of Informatics",j, NO,4,FALSE,https://www.scopus.com/sourceid/13024,0324721X,
13024,Acta Cybernetica,61,85,34,0.7,0.207,0.143,1707,Computer Vision and Pattern Recognition,5,81,85,"University of Szeged, Institute of Informatics",j, NO,4,FALSE,https://www.scopus.com/sourceid/13024,0324721X,
13044,ACM Transactions on Database Systems,654,71,72,9.2,3.217,0.988,1710,Information Systems,92,26,329,ACM,j, NO,1,TRUE,https://www.scopus.com/sourceid/13044,3625915,15574644
13130,Distributed and Parallel Databases,177,94,61,1.9,0.599,0.253,1710,Information Systems,40,197,329,Springer Nature,j, NO,3,FALSE,https://www.scopus.com/sourceid/13130,9268782,15737578
13130,Distributed and Parallel Databases,177,94,61,1.9,0.599,0.253,1712,Software,28,277,389,Springer Nature,j, NO,3,FALSE,https://www.scopus.com/sourceid/13130,9268782,15737578
13130,Distributed and Parallel Databases,177,94,61,1.9,0.599,0.253,1708,Hardware and Architecture,25,117,157,Springer Nature,j, NO,3,FALSE,https://www.scopus.com/sourceid/13130,9268782,15737578
13184,Computer Physics Communications,7824,1069,80,7.3,1.685,1.319,1708,Hardware and Architecture,83,26,157,Elsevier,j, NO,1,FALSE,https://www.scopus.com/sourceid/13184,104655,
13185,Computing in Science and Engineering,956,262,56,3.6,1.277,0.547,1700,Computer Science (all),73,60,226,American Institute of Physics,j, NO,2,FALSE,https://www.scopus.com/sourceid/13185,15219615,
13191,Journal of Computational Physics,16515,2706,81,6.1,1.743,1.882,1706,Computer Science Applications,80,134,693,Elsevier,j, NO,1,FALSE,https://www.scopus.com/sourceid/13191,219991,10902716
13196,Progress in Computational Fluid Dynamics,215,132,53,1.6,0.713,0.483,1706,Computer Science Applications,34,451,693,Inderscience Publishers,j, NO,3,FALSE,https://www.scopus.com/sourceid/13196,14684349,17415233
13427,Bulletin of the Polish Academy of Sciences: Technical Sciences,1314,478,69,2.7,1.017,0.35,1705,Computer Networks and Communications,52,158,334,Polish Academy of Sciences,j, YES,2,FALSE,https://www.scopus.com/sourceid/13427,2397528,23001917
13427,Bulletin of the Polish Academy of Sciences: Technical Sciences,1314,478,69,2.7,1.017,0.35,1710,Information Systems,51,161,329,Polish Academy of Sciences,j, YES,2,FALSE,https://www.scopus.com/sourceid/13427,2397528,23001917
13427,Bulletin of the Polish Academy of Sciences: Technical Sciences,1314,478,69,2.7,1.017,0.35,1702,Artificial Intelligence,42,131,227,Polish Academy of Sciences,j, YES,3,FALSE,https://www.scopus.com/sourceid/13427,2397528,23001917
13560,Ecological Psychology,241,61,77,4,1.315,0.799,1700,Computer Science (all),76,54,226,Taylor & Francis,j, NO,1,FALSE,https://www.scopus.com/sourceid/13560,10407413,15326969
13579,Data Mining and Knowledge Discovery,1916,230,77,8.3,2.726,0.975,1706,Computer Science Applications,89,73,693,Springer Nature,j, NO,1,FALSE,https://www.scopus.com/sourceid/13579,13845810,1573756X
